time;direction;foc_core.angle_rad;foc_core.duty_cycles.a;foc_core.duty_cycles.b;foc_core.duty_cycles.c;foc_core.i_abc.a;foc_core.i_abc.b;foc_core.i_abc.c;foc_core.i_dq.d;foc_core.i_dq.q;foc_core.id_target;foc_core.iq_target;foc_core.speed_measured;foc_core.speed_target;foc_core.v_dq.d;foc_core.v_dq.q;hall_debug.combined_state;hall_debug.h1;hall_debug.h2;hall_debug.h3;
3,316;-1;5,745530128479004;0,5772496461868286;0,7143282890319824;0,2856717109680176;0,26113012433052063;0,27390268445014954;-0,6123953461647034;-0,002587348222732544;0,7864762544631958;0;1,3667657375335693;772,5009765625;1000;-0,5845710039138794;7,77589225769043;2;0;1;0;
3,319;-1;0,1411041021347046;0,2990134358406067;0,7519683241844177;0,24803172051906586;0,009701798669993877;0,2996901869773865;-0,3222857415676117;0,0020541585981845856;0,3144364655017853;0;-0,05971604585647583;962,9998779296875;1000;-0,6012289524078369;7,161416530609131;6;1;1;0;
3,322;-1;0,7344807982444763;0,28176620602607727;0,7182337045669556;0,5053873658180237;0,035489317029714584;-0,01620691455900669;-0,019282402470707893;0,006144599989056587;0,04049967974424362;0;-1,0974725484848022;1185,2474365234375;1000;-0,7719857692718506;6,034207344055176;4;1;0;0;
3,324;-1;1,3410911560058594;0,24582675099372864;0,7228425145149231;0,7457447648048401;-0,09989515691995621;0,27390268445014954;0,04518638551235199;0,1257893145084381;0,1961238533258438;0;0,5131083726882935;891,5348510742188;1000;-0,7295972108840942;7,243800640106201;4;1;0;0;
3,327;-1;1,9570797681808472;0,2564656734466553;0,4357483685016632;0,7457939386367798;-0,009638841263949871;-0,022653793916106224;-0,025729283690452576;-0,07050997018814087;-0,08267348259687424;0;-0,45480823516845703;1103,18359375;1000;-0,5454773902893066;5,941925525665283;5;1;0;1;
3,33;-1;2,487541437149048;0,2671106457710266;0,23306453227996826;0,7752596139907837;-0,11278891563415527;-0,048441313207149506;0,2837209403514862;-0,014964908361434937;0,49607229232788086;0;0,5824199914932251;840,1630859375;1000;-0,5690028667449951;7,880302906036377;5;1;0;1;
3,332;-1;3,085679769515991;0,5917834043502808;0,25972527265548706;0,7360175848007202;-0,01608572155237198;-0,11291011422872543;0,1676771193742752;0,033308710902929306;0,06267136335372925;0;-0,4437410533428192;1065,0516357421875;1000;-0,643320620059967;6,8214335441589355;1;0;0;1;
3,335;-1;3,6368048191070557;0,697580873966217;0,30241912603378296;0,5899167656898499;0,15153315663337708;-0,6157667636871338;0,167677104473114;0,4322463274002075;0,6277307271957397;0;1,0659475326538086;1292,886962890625;1000;-0,4522838294506073;7,846243858337402;1;0;0;1;
3,338;-1;4,304996013641357;0,7440103888511658;0,25598958134651184;0,31755393743515015;0,18376755714416504;-0,13869762420654297;-0,04506993293762207;0,0003321841359138489;0,19162870943546295;0;0,16781485080718994;986,8418579101562;1000;-0,7133022546768188;6,754493713378906;3;0;1;1;
3,341;-1;4,893392086029053;0,7199667692184448;0,492544561624527;0,26315775513648987;0,08061747997999191;0,041815005242824554;-0,025729281827807426;0,005512513220310211;0,050183624029159546;0;-0,842094898223877;1201,6650390625;1000;-0,5161453485488892;5,505917072296143;2;0;1;0;
3,343;-1;5,51170539855957;0,7368419766426086;0,7532831430435181;0,24671688675880432;0,05482995882630348;-0,11291011422872543;-0,1095387190580368;0,03980046510696411;0,31231606006622314;0;0,23724406957626343;904,505126953125;1000;-0,6784523725509644;7,240826606750488;2;0;1;0;
3,346;-1;6,130716323852539;0,4318997263908386;0,7388715147972107;0,25450438261032104;0,003254918847233057;0,07404940575361252;0,10320831090211868;-0,017001938074827194;0,01160844974219799;0;-0,8051432371139526;1111,3658447265625;1000;-0,6468942761421204;6,215436935424805;6;1;1;0;
3,349;-1;0,42528417706489563;0,2298867404460907;0,7701132893562317;0,36653611063957214;-0,09989515691995621;0,35126522183418274;-0,2642638087272644;0,01654825359582901;0,42287227511405945;0;0,7629104852676392;828,7750854492188;1000;-0,6675670146942139;8,039249420166016;6;1;1;0;
3,352;-1;1,0773272514343262;0,2537776231765747;0,7437376976013184;0,6439284682273865;-0,09344828128814697;0,07404940575361252;-0,06441056728363037;0,11244314908981323;0,06959047168493271;0;-0,15783339738845825;1029,2000732421875;1000;-0,5890346765518188;6,436069965362549;4;1;0;0;
3,354;-1;1,6217495203018188;0,2965863049030304;0,5352159738540649;0,7021759748458862;0,04838307574391365;0,003133725142106414;-0,006388643756508827;-0,12018728256225586;0,06421007961034775;0;-1,1808431148529053;1273,1611328125;1000;-0,583448588848114;4,995617866516113;5;1;0;1;
3,357;-1;2,285501718521118;0,243950754404068;0,28249484300613403;0,7635065913200378;-0,01608572155237198;-0,04199443385004997;0,08386766910552979;-0,06174776703119278;0,21478641033172607;0;0,44889572262763977;959,1536254882812;1000;-0,5908095836639404;6,886488914489746;5;1;0;1;
